repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
commons-lang,27e195c7f665160e0c61607ac2caa56f89cb45fe,0.693147,0.693147,0.693147,1.098612,0.0,0.0,0.693147,0.693147,0.693147,4.70953,,0,0
commons-lang,0311b67baed404b2b12f9ced753dbee7b5bca11f,0.693147,0.693147,0.693147,1.098612,0.0,0.0,0.693147,0.693147,0.693147,3.178054,,0,0
commons-lang,1a256d3e74dd547b0ec7ea3b4b31ce1039cff312,1.098612,0.693147,1.098612,1.098612,0.693147,0.0,0.693147,0.693147,3.73767,1.791759,,0,0
commons-lang,5fceb927149723bc6199d46f3a5f27675e65d9db,0.693147,1.098612,0.693147,1.609438,0.0,0.0,0.693147,1.098612,1.098612,4.204693,,0,0
commons-lang,b33448dd18cf76ac03d82e0da0c27fc521470312,0.693147,0.693147,0.693147,0.693147,0.0,0.0,0.693147,0.693147,0.693147,3.135494,,0,0
commons-lang,b9bce16817a58756b287ae2b4403a961307b95f8,1.098612,0.693147,1.098612,1.609438,0.0,0.0,0.693147,0.693147,5.220356,5.749393,,0,0
commons-lang,38f7109f4214300ae6eaf4bd76f5a7f1b2a10dc1,0.693147,0.693147,0.693147,1.791759,0.0,0.0,0.693147,0.693147,0.693147,6.013715,,0,0
commons-lang,f51d0615d034ae997611ac01fd4c79823122372b,1.098612,0.693147,1.386294,1.098612,0.0,0.0,0.693147,0.693147,2.302585,5.209486,,0,0
commons-lang,225d1c8058f39e7bf42f2b77f75a8b88dae4e037,1.098612,0.693147,1.098612,1.098612,0.0,0.0,0.693147,0.693147,1.791759,2.772589,,0,0
commons-lang,2c68a657e19b8412fa1fe090b72d4910896fecc4,0.693147,0.693147,0.693147,1.098612,0.0,0.0,0.693147,0.693147,0.693147,2.197225,,0,0
commons-lang,efe894332c981836e8953b6f2ffc7e2891e8b155,1.098612,0.693147,1.791759,0.693147,0.0,0.0,0.693147,0.693147,2.944439,1.098612,,0,0
commons-lang,371f8c7a7767325658de405bd20d7697dc42e457,0.693147,1.098612,0.693147,1.098612,0.0,0.0,0.693147,0.693147,4.317488,1.791759,,0,0
commons-lang,91ce5ba318af40e9d9b37cfb301a4bb1bacd3ba2,2.302585,1.098612,2.302585,0.693147,0.0,0.0,1.504077,0.693147,4.394449,1.609438,,0,0
commons-lang,ffc86e432bba72d9d54f09dd3f74b6cdb3c9198d,0.693147,0.693147,0.693147,0.693147,0.0,0.0,0.693147,0.693147,0.693147,0.693147,,0,0
commons-lang,d631b6c4875c428230d6eb606fa982e36b38fff9,0.693147,0.693147,1.098612,0.693147,0.0,0.0,0.693147,0.693147,1.609438,1.098612,,0,0
commons-lang,ad6890f9e63a5c08866725d65d3b216a82aeb5cc,0.693147,2.251292,0.693147,2.302585,0.0,0.0,0.693147,1.386294,4.174387,5.631212,,0,0
commons-lang,c55d1f3ccb0a3631eecff63743c936ed9b8505a1,0.693147,0.693147,0.693147,1.098612,0.0,0.0,0.693147,0.693147,0.693147,3.806662,,0,0
commons-lang,7de27aa9ab457b5f1c2c6a5bb695e268d95c6a64,0.693147,1.098612,1.386294,0.693147,0.0,0.0,0.693147,0.693147,1.609438,5.846439,,0,0
commons-lang,c969f2c93ad296e999c0f837edb596c83989f177,0.693147,0.693147,1.098612,1.098612,0.0,0.0,0.693147,0.693147,1.386294,2.197225,,0,0
commons-lang,f66f39f817585a422692bdc01213790102d0e652,0.693147,1.386294,1.386294,1.609438,0.0,0.0,0.693147,0.693147,2.70805,5.01728,,0,0
