repo,merge,hist_conflict_rate,hist_prior_conflicts,hist_prior_merges,file_conflict_overlap,divergence_days
commons-lang,27e195c7f665160e0c61607ac2caa56f89cb45fe,0.0196,1,51,1,0.0
commons-lang,0311b67baed404b2b12f9ced753dbee7b5bca11f,0.02,1,50,1,0.0
commons-lang,1a256d3e74dd547b0ec7ea3b4b31ce1039cff312,0.0204,1,49,1,0.7
commons-lang,5fceb927149723bc6199d46f3a5f27675e65d9db,0.0208,1,48,0,1.9
commons-lang,b33448dd18cf76ac03d82e0da0c27fc521470312,0.0213,1,47,1,1.0
commons-lang,b9bce16817a58756b287ae2b4403a961307b95f8,0.0217,1,46,1,0.0
commons-lang,38f7109f4214300ae6eaf4bd76f5a7f1b2a10dc1,0.0222,1,45,1,1.0
commons-lang,f51d0615d034ae997611ac01fd4c79823122372b,0.0227,1,44,1,1.4
commons-lang,225d1c8058f39e7bf42f2b77f75a8b88dae4e037,0.0233,1,43,1,0.1
commons-lang,2c68a657e19b8412fa1fe090b72d4910896fecc4,0.0238,1,42,1,0.2
commons-lang,efe894332c981836e8953b6f2ffc7e2891e8b155,0.0244,1,41,1,0.0
commons-lang,371f8c7a7767325658de405bd20d7697dc42e457,0.025,1,40,0,1.6
commons-lang,91ce5ba318af40e9d9b37cfb301a4bb1bacd3ba2,0.0256,1,39,1,3.8
commons-lang,ffc86e432bba72d9d54f09dd3f74b6cdb3c9198d,0.0263,1,38,1,1.0
commons-lang,d631b6c4875c428230d6eb606fa982e36b38fff9,0.027,1,37,1,0.0
commons-lang,ad6890f9e63a5c08866725d65d3b216a82aeb5cc,0.0278,1,36,1,5.9
commons-lang,c55d1f3ccb0a3631eecff63743c936ed9b8505a1,0.0286,1,35,1,0.1
commons-lang,7de27aa9ab457b5f1c2c6a5bb695e268d95c6a64,0.0294,1,34,0,3.6
commons-lang,c969f2c93ad296e999c0f837edb596c83989f177,0.0303,1,33,1,1.6
commons-lang,f66f39f817585a422692bdc01213790102d0e652,0.0312,1,32,1,4.8
commons-lang,a337fec4ce58ed03c416b5af03f593edb26f0a00,0.0323,1,31,1,3.6
commons-lang,5b59487808d0b86a94ad7a1ebd4c200e09b7be09,0.0333,1,30,1,1.8
commons-lang,2abb7d3a98ed88814c4867dc58e41432e85f96f4,0.0345,1,29,1,0.3
commons-lang,b02333396adcff6179074f6d71997eab1d6197c5,0.0357,1,28,1,1.6
commons-lang,98fa10a80243a40685437b684d885082fbb26302,0.037,1,27,1,0.2
commons-lang,d7cdcc6a7114d8a8f99bfe05a081c5f1a3bbf215,0.0385,1,26,0,2.2
commons-lang,bac2371b9ca2069ef7ba70bc9f4a315c46abf9c8,0.04,1,25,0,4.8
commons-lang,248ec2e719b35570f2635cde69a00865388fe869,0.0417,1,24,1,2.0
commons-lang,f73fa2d3b399ba2f49c7af833a9bd70b36922c09,0.0435,1,23,0,4.6
commons-lang,a01e0621dcc7d88ec226044778881055949cef9b,0.0455,1,22,1,1.3
commons-lang,064971c7feaeaa3286fab614921171a8fa8a4e92,0.0476,1,21,1,1.3
commons-lang,5e1f169cee3d19f83d9885eec0b4a0f4cd186ca5,0.05,1,20,1,1.0
commons-lang,73c5a884da70bc40e7a17a7b9ebf5cc5223d7caa,0.0526,1,19,0,4.1
commons-lang,4c050914d980efc55562f8322d2f6e4f8ec863af,0.0556,1,18,1,2.1
commons-lang,d69c9f3769e8714d20aee1e6c07f0fe2c633b519,0.0588,1,17,1,1.3
commons-lang,08d28f59526b058221be974e55dcf24ea0fbe0e7,0.0625,1,16,0,8.1
commons-lang,6681a34d25b63a47c2d619ae0466825304ea9b1f,0.0,0,15,0,12.0
commons-lang,fb45bd7f2c1a8097eadb6b4a6bc9f16c03422a5b,0.0,0,14,0,1.4
commons-lang,e852e8088e0485e2214efe0f10400aa9d931eaef,0.0,0,13,0,0.8
commons-lang,38d13dddadc2876fde6134e094f5eac8bc792614,0.0,0,12,0,1.9
commons-lang,4a8aa9e7243e7df4e5ebca91b85209bd69c875fb,0.0,0,11,0,2.9
commons-lang,4b621c8c031265e4ca1749474c701b198a54e587,0.0,0,10,0,13.9
commons-lang,c49dc4893fd48964e5b88eabe0c7854a15033b4f,0.0,0,9,0,6.2
commons-lang,69e3ba4188ae857eeb05a36a5e7b30fac344c905,0.0,0,8,0,1.7
commons-lang,8f579b4f3074b79c44771ce6c6dec1d253401f50,0.0,0,7,0,0.8
commons-lang,977e1008fb13ddcf0465324426c38e96b6194553,0.0,0,6,0,3.9
commons-lang,535ec32c680a6581739a41bf97ecb8b8718c73b8,0.0,0,5,0,0.4
commons-lang,c8bfb687e4974e7514f51ff78e8aae75205c3735,0.0,0,4,0,6.9
commons-lang,18ce3b473018d1d7da90c0b5b563c97bf030b1a4,0.0,0,3,0,4.8
commons-lang,0a98b934d234782f33e71f762b66f1d8b79f0f8f,0.0,0,2,0,0.1
