repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
mina-sshd,1cccb85e0ffa50fe6125353fa343b7c397e59f20,9,1,8,2,0,0.0,2,1,107,178,,0,0
mina-sshd,40a08a4fc4b469185b1dd4f7c90cdf8949dc0c80,5,1,339,1,0,0.0,3,1,16559,18,,0,0
mina-sshd,8de056871a5031ad52a86c607cd0bbf0c1a154e2,3,2,2,16,1,0.0588,2,1,27,36,,0,0
mina-sshd,4b40da32f21e014f5826105f817be26d2b7f9ef1,1,3,2,1,0,0.0,1,1,11,22,,0,0
mina-sshd,e754db9e2cfcfa5fbb8b75d1a845d8a9ef28e1ec,16,2,34,2,0,0.0,7,1,1113,39,,0,0
mina-sshd,f8a0aeca1596d1bd37ba3339ae1cc29721d52566,1,1,6,2,0,0.0,1,1,333,48,,0,0
mina-sshd,2309e0112290410bbe3696606f36907bc19ecff5,6,1,14,1,0,0.0,4,1,90,2,,0,0
mina-sshd,283c8d42a4c28d747231760ba2a770b5b3198a66,4,1,2,12,0,0.0,3,1,7,83,,0,0
mina-sshd,2b3b15c7c0b21827e3450eb65599c1053ce1c7dc,2,1,1,1,0,0.0,2,1,4,3,,0,0
mina-sshd,a6dad81f2627de3e3369ac0401f1bd2a40cdcfb2,2,1,14,1,0,0.0,1,1,638,4,,0,0
mina-sshd,340312c0663424a34149c8969dfe90c6f2b713e7,1,1,3,10,0,0.0,1,1,131,954,,0,0
mina-sshd,67c9a68b9ee7fbf6b3c19408fd69ae7b4ca41bdb,1,3,2,3,0,0.0,1,1,7,50,,0,0
mina-sshd,ef1399672f022f5e8a24a196fc9cb806c806201b,1,20,12,77,0,0.0,1,4,295,3601,,0,0
mina-sshd,18e8c98712a1146a6a753f93207665aa70cca1bf,150,1,388,1,1,0.0026,6,1,12193,2,,0,0
mina-sshd,d02fbcfd5c00dabdd756e20fd7c882bf7afd8ca5,86,1,157,3,1,0.0063,4,1,4512,13,,0,0
mina-sshd,2292042eff6e1bdc98f3bd99708d45c8eea83f6a,2,3,4,4,0,0.0,2,1,661,14,,0,0
mina-sshd,721f399bd919845a15e678336baabaed2bf068d5,4,4,145,2,0,0.0,2,3,1867,281,,0,0
mina-sshd,f029d162c2dc732dabfd4b25c5790def917cba77,54,1,262,1,0,0.0,5,1,6386,281,,0,0
mina-sshd,da410fcd5db042db9178f430fc7c8024819a5758,2,2,4,1,0,0.0,1,1,68,14,,0,0
mina-sshd,b82143f3ed920de7fa1fca78ed1ba540200fcb77,5,2,33,3,0,0.0,2,1,600,367,,0,0
