repo,merge,cbo_p1,cbo_p2,cyclomatic_p1,cyclomatic_p2,dep_depth_p1,dep_depth_p2
commons-lang,27e195c7f665160e0c61607ac2caa56f89cb45fe,0,8,0,55,0,18
commons-lang,0311b67baed404b2b12f9ced753dbee7b5bca11f,0,4,0,55,0,18
commons-lang,1a256d3e74dd547b0ec7ea3b4b31ce1039cff312,3,14,9,14,15,15
commons-lang,5fceb927149723bc6199d46f3a5f27675e65d9db,40,3,708,166,13,18
commons-lang,b33448dd18cf76ac03d82e0da0c27fc521470312,0,7,0,92,0,14
commons-lang,b9bce16817a58756b287ae2b4403a961307b95f8,1,13,17,155,18,15
commons-lang,38f7109f4214300ae6eaf4bd76f5a7f1b2a10dc1,0,6,0,4,0,17
commons-lang,f51d0615d034ae997611ac01fd4c79823122372b,0,15,0,225,0,0
commons-lang,225d1c8058f39e7bf42f2b77f75a8b88dae4e037,0,4,0,49,0,17
commons-lang,2c68a657e19b8412fa1fe090b72d4910896fecc4,0,20,0,293,0,1
commons-lang,efe894332c981836e8953b6f2ffc7e2891e8b155,14,9,128,193,17,14
commons-lang,371f8c7a7767325658de405bd20d7697dc42e457,26,3,615,4,13,17
commons-lang,91ce5ba318af40e9d9b37cfb301a4bb1bacd3ba2,55,0,819,0,15,0
commons-lang,ffc86e432bba72d9d54f09dd3f74b6cdb3c9198d,7,0,353,0,13,0
commons-lang,d631b6c4875c428230d6eb606fa982e36b38fff9,0,0,0,0,0,0
commons-lang,ad6890f9e63a5c08866725d65d3b216a82aeb5cc,0,52,59,844,0,17
commons-lang,c55d1f3ccb0a3631eecff63743c936ed9b8505a1,0,20,0,275,0,1
commons-lang,7de27aa9ab457b5f1c2c6a5bb695e268d95c6a64,0,14,0,28,0,17
commons-lang,c969f2c93ad296e999c0f837edb596c83989f177,3,0,47,0,14,0
commons-lang,f66f39f817585a422692bdc01213790102d0e652,15,25,104,623,13,13
commons-lang,a337fec4ce58ed03c416b5af03f593edb26f0a00,0,50,0,837,0,13
commons-lang,5b59487808d0b86a94ad7a1ebd4c200e09b7be09,0,0,0,0,0,0
commons-lang,2abb7d3a98ed88814c4867dc58e41432e85f96f4,193,0,905,0,18,0
commons-lang,b02333396adcff6179074f6d71997eab1d6197c5,7,2,15,3,17,0
commons-lang,98fa10a80243a40685437b684d885082fbb26302,0,6,0,67,0,17
commons-lang,d7cdcc6a7114d8a8f99bfe05a081c5f1a3bbf215,21,9,200,11,18,15
commons-lang,bac2371b9ca2069ef7ba70bc9f4a315c46abf9c8,9,287,11,1782,15,19
commons-lang,4a6ae3e9e9db73e6f43c958eab3fd3bba2ea15c0,0,0,0,0,0,0
commons-lang,248ec2e719b35570f2635cde69a00865388fe869,8,1,12,58,15,0
commons-lang,f73fa2d3b399ba2f49c7af833a9bd70b36922c09,40,40,660,660,13,13
commons-lang,a01e0621dcc7d88ec226044778881055949cef9b,0,40,0,679,0,13
commons-lang,064971c7feaeaa3286fab614921171a8fa8a4e92,0,9,0,247,0,14
commons-lang,5e1f169cee3d19f83d9885eec0b4a0f4cd186ca5,9,0,247,0,14,0
commons-lang,73c5a884da70bc40e7a17a7b9ebf5cc5223d7caa,13,37,25,302,12,18
commons-lang,4c050914d980efc55562f8322d2f6e4f8ec863af,11,37,32,751,18,17
