repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
activemq,307c0293856c00cf430804a26840dc962c3ab26e,10,1,22,2,0,0.0,5,1,599,23,,0,0
activemq,c2ebea7e2eabb52e7066d23cc97b86d4dac143e5,2,1,1,8,0,0.0,1,1,8,205,,0,0
activemq,a5962478eae9c8164dc7f23831c830c4ee600b74,3,1,10,1,0,0.0,2,1,57,93,,0,0
activemq,1a10be8fd70c91a4f5f94cc0df21aa6dd58fd045,3,1,4,3,0,0.0,2,1,43,115,,0,0
activemq,d008a1d188ad3144f82b8b09fc6d9df24c66d17a,1,1,5,1,0,0.0,1,1,477,2,,0,0
activemq,79f28c5aa3b5e461ee949b397ceb6ae010e6607d,2,1,74,1,0,0.0,1,1,1055,7,,0,0
activemq,78ee3434256b59138b948b43db9e232f9c4ddcf5,2,1,1,1,1,1.0,2,1,2,2,,0,0
activemq,47b5286d72b3b112915bfb5ed5fda25e126cba5a,13,1,5,1,1,0.2,3,1,139,2,,0,0
activemq,4e14a4cfd1cd6cfea5b1cdb0e8d6ddc7f4c7e541,1,10,1,5,1,0.2,1,3,2,137,pom.xml,0,1
activemq,2108301fae215e005a194a35fadad60c39c249e8,8,1,5,1,1,0.2,3,1,135,2,,0,0
activemq,7ef19ab9a3a7d7bf1672248c0189c69a06623ba9,6,1,5,1,1,0.2,3,1,133,2,,0,0
activemq,3fd5f1a65b5ce3006c1448f5d7c736d3e5f42e6d,23,1,77,1,0,0.0,4,1,4635,20,,0,0
activemq,84fdc659324c173cd2da7aed485aae9617ffc7a1,2,1,4,1,1,0.25,2,1,111,2,,0,0
activemq,fb52acb84418eba7d9292d9926fa14a82ad2c300,4,1,15,6,0,0.0,1,1,2582,44,,0,0
activemq,a4a42277d1b69273652d8cb1e326ff90f4ad1399,2,1,30,1,0,0.0,1,1,1015,8,,0,0
activemq,ca7eaeb8049f605db7be6252efa17b48ca6c961d,6,1,1,30,0,0.0,2,1,6,1015,,0,0
activemq,b271fa82f2d102862ee8f5be5b795f3a0ab4c331,4,1,1,1,1,1.0,1,1,4,2,,0,0
activemq,27dc2812260120fbecf7d5d5efddb42c2deb5c7f,2,1,1,1,1,1.0,1,1,2,2,,0,0
activemq,5cb8cca32a73dffe64a4b48452659f5e2c73d028,19,1,12,4,0,0.0,6,1,155,65,,0,0
activemq,322c84d5c223986ad5b6ba810b38c5ac0fd2abc3,136,1,61,5,0,0.0,13,1,1645,22,,0,0
activemq,04c367a6907da74da870ed48b96533e168fe21a3,5,1,2,1,1,0.5,2,1,71,2,,0,0
activemq,82bb04c22387add2bb680f810f57d14217d4c8a6,1,1,1,1,0,0.0,1,1,67,2,,0,0
activemq,645dd999644c49a0b28b3dbda3b04c7098fafc54,4,1,2,1,1,0.5,1,1,45,2,,0,0
activemq,aa3e8e7de2307eea6b2d31b50dd9d68155beec89,2,1,1,1,0,0.0,1,1,43,2,,0,0
activemq,aa842da2873739280fc2e786705c53ba00e64fb8,2,1,1,1,0,0.0,1,1,2,4,,0,0
activemq,a621df7affc0ed28d4616768873ddc912cc82c11,2,1,5,1,0,0.0,2,1,188,2,,0,0
activemq,be1856cace0128a3f5fc425002553914943fc4b9,116,1,64,5,0,0.0,11,1,2164,188,,0,0
activemq,871f9424372baf7e6a442ebe3f08d60d6535dce4,6,1,2,1,1,0.5,1,1,8,2,,0,0
activemq,13b6d299286246bf46787e172c5a8d73dd41ff37,4,1,2,1,1,0.5,1,1,6,2,,0,0
activemq,c60bb18d29575d46f27f0e04a537323b2731c36e,2,1,1,1,0,0.0,1,1,2,4,,0,0
activemq,e0469d39916553655f5e3d61aca53f07dd595044,2,1,1,1,1,1.0,2,1,2,2,,0,0
activemq,ea713b16e4284599eb4537bcef3cf032b26dfe06,12,1,1,1,1,1.0,2,1,12,2,,0,0
activemq,975307790807b2fcb26fa74b7f73c578129803ce,10,1,1,1,1,1.0,2,1,10,2,,0,0
activemq,eacb30f5c3395d0ac62fdc4a61a3fcc78e4d447c,8,1,1,1,1,1.0,2,1,8,2,,0,0
activemq,6ada8021b6c02e66e5fb5e07ad37420bd5ddf730,8,1,1,1,1,1.0,2,1,8,2,,0,0
activemq,4ac88314b9f7944d05cdb07b510d742150eddb23,6,1,1,1,1,1.0,2,1,6,2,,0,0
activemq,7b680fb38cdd8c3b9caf569aa81476f6b1bef9b7,8,1,1,1,1,1.0,2,1,8,2,,0,0
