repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
maven,dcc916a9e3f6e9c06cf5987f0af2a6210c9bac7b,1,1,1,1,1,1.0,1,1,51,51,,0,0
maven,fac10d2c91dfb37be05e60313b8204457de05477,2,1,1,19,0,0.0,2,1,3,406,,0,0
maven,6c343136b0ae03dba591d110dca0defc6b1239b8,7,3,27,6,0,0.0,4,1,1022,475,,0,0
maven,ef62d7a4bd57cdd315dfa187780790e3449321aa,1,1,2,3,1,0.25,1,1,2,16,,0,0
maven,ef313b620cece6f580552b1074813fe960a5d75e,1,1,1,9,0,0.0,1,1,8,330,,0,0
maven,976a706ddd938d61aea3e3b57cfc6333ade58230,3,1,25,18,1,0.0238,3,1,273,645,its/core-it-suite/src/test/java/org/apache/maven/it/IntegrationTestSuite.java,1,1
maven,26f1e817449a97af5cea35183494df45c05a03fd,2,1,6,1,0,0.0,2,1,84,2,,0,0
maven,06c32178993e7e6ecee487831873a5e568b4643a,1,1,36,6,0,0.0,1,1,80,84,,0,0
maven,24697184cc3a0c4aac7c46498038ecaa9a2d8025,4,5,3,32,0,0.0,1,3,43,88,,0,0
maven,8913502589acbbd51f5403666c239633c5e06f2d,3,4,3,16,0,0.0,1,3,43,942,,0,0
maven,789d75fc68365e0a1281a3532a07e2e744a76b30,2,19,3,21,1,0.0435,1,11,43,855,,0,0
maven,f2116001b9cc4c3f1a0f389260422f015b1d84c6,1,8,3,14,0,0.0,1,6,43,354,,0,0
maven,b373bb06e8c539622569b41dedc3402441b56846,280,280,339,339,339,1.0,60,61,7888,7892,,0,0
maven,c7aa002c749996f46ae04f1d1c1e1390b7374f7e,2,2,2,6,0,0.0,2,1,6,156,,0,0
maven,430152c1e565f1b8e29221e4fbb66843f4b83e2d,1,1,11,4,1,0.0714,1,1,438,106,its/core-it-suite/src/test/java/org/apache/maven/it/IntegrationTestSuite.java,1,1
maven,c82409a2d843427ceceb9a42b0a4dc46cc4637bd,18,1,196,1,0,0.0,6,1,999,6,,0,0
maven,3d76faed001b260737cc89ba968d7d0e64938ecc,12,1,14,2,1,0.0667,8,1,632,43,,0,0
maven,cd34b08df1f378b44fae3d8020aa1fda8089dc79,2,2,190,3,2,0.0105,1,1,995,23,,0,0
maven,909fb7c59b87286b6eae36195f65db4776ccf92a,2,1,1,1,0,0.0,2,1,31,2,,0,0
maven,6a93bbea23e362c9cea7d710a37556258c2dbd47,34,1,67,1,0,0.0,6,1,1259,13,,0,0
maven,abca6ab6e2508860fb30d6e51b668c6c513e3d9e,2,1,1,2,0,0.0,1,1,5,468,,0,0
maven,862c84a52b9ae9b88bc9a6cfa256852532d02a9a,4,1,1,1,0,0.0,2,1,7,8,,0,0
maven,529e8a62049d009a800cbf0b37ca348abaf9022d,2,2,0,4,0,0.0,1,2,0,22,,0,0
maven,c6c5192d4bcb50c1aab6fade53dfb9c2f3d9b7e7,1,1,1,1,0,0.0,1,1,4,61,,0,0
maven,a2abd39e211900a652052ec4e48b8c60519ef70c,2,2,1,1,1,1.0,2,2,5,5,,0,0
maven,0499d1d36af9be8a31f2e8f7c36ca8946b1862a8,1,3,1,1,0,0.0,1,1,5,8,,0,0
maven,90142e9780ca57d4e0e3dc7d6ad2b2a554a174d1,1,3,1,1,0,0.0,1,1,5,8,,0,0
