repo,merge,commits_p1,commits_p2,files_p1,files_p2,overlap_files,overlap_ratio,authors_p1,authors_p2,churn_p1,churn_p2,conflict_files,code_conflict,label
commons-math,68163ff8f1b5474c65d6680cf27bef241a8cc51e,2,1,2,1,0,0.0,1,1,4,5,,0,0
commons-math,9ca9e7d7917560baf0f604c5e823114363be154c,2,1,1,2,1,0.5,2,1,2,8,,0,0
commons-math,af7e2c753c318ff85469653b1d6f9276282cce7f,2,1,1,2,1,0.5,2,1,2,8,,0,0
commons-math,9637854bc06acf73b5fa1e75215fa4ad6f4c0e01,2,1,1,2,1,0.5,2,1,2,8,,0,0
commons-math,b0656699578d564d6d55949d415686e4085654a5,2,1,2,1,0,0.0,2,1,8,2,,0,0
commons-math,8e8e80efb77e8e6440f95427cf19c8abb7a51e91,4,1,3,2,0,0.0,2,1,8,8,,0,0
commons-math,ffe022284442f8da651dba52963303b789368d77,2,1,1,3,1,0.3333,2,1,2,6,,0,0
commons-math,fc151828844ebb7335d738cdf2d95fa47bd1adcd,2,1,1,2,1,0.5,2,1,2,8,,0,0
commons-math,bde0f3d787cfca7ad48569fa841675da381562c9,2,1,1,2,1,0.5,2,1,2,8,,0,0
commons-math,96a5c3af4ff6f59f894874ab252944efa130f9a3,2,1,2,1,0,0.0,2,1,8,2,,0,0
commons-math,f6ffde98b9fa09acbf8bd7d0a64a04c122a5f2e0,3,1,2,2,0,0.0,2,1,4,8,,0,0
commons-math,6c97f033f4c3adc3d0f692ef30f2d19d77f88e49,2,1,3,2,0,0.0,2,1,6,8,,0,0
commons-math,aed06726224122b483bdd31b60b1bc62c1873d98,4,1,2,1,1,0.5,2,1,10,2,,0,0
commons-math,f83ac78c27c3c34732517e118ff20ab24b8fa862,2,1,1,2,1,0.5,2,1,2,8,,0,0
commons-math,8dad3b8b5fad8b13f23843b93c36b4ffc9f097eb,6,1,2,1,1,0.5,2,1,12,2,,0,0
commons-math,b0e7c4678fb2c0d16d65bbaaafcc22fd18483dfa,4,1,2,1,1,0.5,2,1,10,2,,0,0
commons-math,03edd659394ecbe44e7903007366fca4814cdd6b,2,1,1,2,1,0.5,2,1,2,8,,0,0
commons-math,b8bc7590a3215b4b4872208ccfe7b2a64b35ec49,3,1,3,1,0,0.0,1,1,14,2,,0,0
commons-math,d961ff2f4d2adfa537e361c24082628fa866d855,1,7,9,84,3,0.0333,1,1,488,688,,0,0
commons-math,506d4bea15a1d8845b4ba254899d9b1bf9a5c953,11,5,19,21,10,0.3333,2,1,568,558,src/site/site.xml,0,1
commons-math,5b291c795051258a455fa65462f35c78f338f7d3,1,4,3,3,0,0.0,1,1,22,77,,0,0
commons-math,f466637d82930c0104c1fd0dcc8e179a4ce9b98a,12,8,18,10,10,0.5556,2,1,521,137,,0,0
commons-math,26fc13cf66c066ffa96f509dcb54e2dd77a34e78,10,2,78,7,1,0.0119,1,2,3662,24,src/changes/changes.xml,0,1
commons-math,de99fd0384f0101beeb47433ee8be89624bec9c5,1,4,2,16,0,0.0,1,2,39,76,,0,0
commons-math,c98e638d7313fec1cc5808cfaa18b2bceaa9864c,2,1,4,92,0,0.0,1,1,114,10629,,0,0
commons-math,9f92370627346243071b7424f581ed75f924adc1,3,1,14,1,0,0.0,1,1,179,6,,0,0
commons-math,b7dd3fd3d11df92e3f653f001e1a924a9fc49b73,1,5,5,17,0,0.0,1,3,20,150,,0,0
commons-math,830f1d1443b21bb17f76fba84eb1170d97ba369a,3,1,2,1,0,0.0,1,1,135,2,,0,0
commons-math,a9645dbc0249a3d1e477e0b81821beac3fe4debd,1,7,1,8,1,0.125,1,1,751,120,pom.xml,0,1
commons-math,286ab7c6dd4c4aae0b0290517ea3508487438d01,1,2,1,2,0,0.0,1,1,54,7,,0,0
commons-math,36553ffab375518a8ce39b25a916f730775435a4,1,6,1,2,0,0.0,1,2,2,299,,0,0
commons-math,7bbeaf72e8f6fc827823b6c3cbe3e5ab019f2ae6,1,2,2,6,1,0.1429,1,1,6,1296,src/test/java/org/apache/commons/math4/geometry/euclidean/twod/PolygonsSetTest.java,1,1
commons-math,1b99b4583c552e0ece96349b4cb56b3584ad2b42,2,30,2,123,2,0.0163,1,2,185,12206,,0,0
commons-math,3ea45970dbe94643fb57ce7713dc1c624526853b,17,3,114,2,0,0.0,1,2,11261,223,,0,0
commons-math,5ec8070228b3879a9bd4d2d2b697c295ef762fb4,2,1,2,2,0,0.0,2,1,185,127,,0,0
commons-math,cb4ad072e0d357d4fe4f0f27a0ed4df0ecdb0f4c,1,1,2,2,0,0.0,1,1,185,127,,0,0
commons-math,777af155a678286614d261887790352b43fa7c2a,1,1,2,3,1,0.25,1,1,5,6,,0,0
commons-math,7a59c0af26177cf69e702eaac85471e54762f664,34,10,282,101,18,0.0493,5,1,5639,8682,src/main/java/org/apache/commons/math4/geometry/euclidean/threed/FieldVector3D.java;src/main/java/org/apache/commons/math4/geometry/euclidean/threed/Vector3D.java,1,1
commons-math,843fbfbc3428819dc0763fa470a8af64c0e74775,22,1,270,4,2,0.0074,5,1,4665,729,src/main/java/org/apache/commons/math4/stat/Frequency.java,1,1
commons-math,bddcfd5a574a1d509cf54d799ec7604dad1380b4,1,1,0,2,0,0.0,1,1,0,230,,0,0
commons-math,595f3fb79a885f8620f77ebcccf8da65b5024b4e,7,28,4,44,0,0.0,3,2,2834,8268,,0,0
commons-math,c4c288a3e0e610ed02801b17ed26016b0e734032,99,6,296,4,1,0.0033,6,2,120436,2834,,0,0
commons-math,57e01f404ecf77b31d301231bf09184ee87e69f7,15,6,9,6,0,0.0,3,1,364,1076,,0,0
commons-math,64b47d86facb0dc2355a6295f143410938740ad3,6,3,6,3,1,0.125,1,2,507,49,src/changes/changes.xml,0,1
commons-math,bbd702ae2f6c52b58d2e2ba99d7fc548545f46e6,3,1,6,3,3,0.5,1,1,507,155,,0,0
commons-math,3ec3a2e353249f6f98874ecfd43d317dcfe3042d,1,3,1,7,0,0.0,1,1,71,780,,0,0
commons-math,73952558a19baa5cfb71094272b1c1420136d768,32,2,225,2,2,0.0089,2,1,117067,23,src/main/java/org/apache/commons/math4/util/MathArrays.java,1,1
commons-math,78ebedb0f1c84787e622a92cc47c2d28a0e1e4e5,11,21,130,219,122,0.5374,3,1,112893,116809,,0,0
commons-math,aeb21280ae82701d21321d882e454f5c6ada4ff7,7,2,5,123,0,0.0,2,1,29,112732,,0,0
commons-math,71760ddf88efe70447bacd92c33eba50fc7fb1ea,5,1,4,1,0,0.0,2,1,23,6,,0,0
commons-math,6c4fc0647f4657d65868cdea2f4a850103620f47,3,1,3,1,0,0.0,2,1,6,17,,0,0
commons-math,d0f45833617d8622f68bb33f1050cd8a6e9c9464,2,1,3,3,0,0.0,2,1,140,4,,0,0
commons-math,bd557f1b8bbb8c9603d6edf642a8db4c4c8db21b,1,1,1,2,0,0.0,1,1,2,71,,0,0
commons-math,3e5c248f739b7978c057b0fbd3d0117f4bc2302c,1,2,2,5,0,0.0,1,1,16,224,,0,0
commons-math,dcd8015fa6baefaa9ca3d6c9bd792c7f0bde08ac,1,7,5,8,0,0.0,1,2,224,53,,0,0
commons-math,2fcfce303989ae14b5b51f4c9fc92e97bc540ba8,1,4,2,5,0,0.0,1,1,8,31,,0,0
commons-math,85a4fdd0ead28ad4c2f489116b34166c2761e4a3,1,7,6,16,0,0.0,1,2,57,1106,,0,0
commons-math,47ed8d9207be8362463b9113de0c83bca871345e,1,1,3,1,0,0.0,1,1,229,2,,0,0
commons-math,e7e8c3f7177e22b5fa766d931d52142c9fc55f49,1,1,3,2,0,0.0,1,1,15,103,,0,0
commons-math,9575054ff07b8dbb912e889111f6b3a3be582680,2,2,7,5,3,0.3333,1,1,865,160,src/changes/changes.xml,0,1
commons-math,2990f6caad0db0f7c7a2df22d65f1031ed9e33e1,1,2,3,4,1,0.1667,1,1,30,103,src/changes/changes.xml,0,1
commons-math,a55ae85447ea6786c9aaf4c3f38779a61b23d142,1,6,4,12,1,0.0667,1,3,103,183,src/changes/changes.xml,0,1
commons-math,0a799598cbb436e67d65561793d1a8a7c56c3446,1,7,43,19,1,0.0164,1,2,1328,1054,src/changes/changes.xml,0,1
commons-math,f5532557b9fd00c2e1c8b1cc4559d95eed0ad8ac,3,4,41,4,2,0.0465,1,2,315,24,src/changes/changes.xml,0,1
commons-math,c1c61ce70d1e9f7ee005364ac797841f653ec3e6,1,4,1,35,0,0.0,1,2,2,233,,0,0
commons-math,3d9a76877b4f0e405f6436a9972c6f9fd8832d51,1,3,1,6,0,0.0,1,1,28,75,,0,0
commons-math,38e337f5c85cab778fc826438fce9f05d7e3a09f,1,2,4,2,0,0.0,1,1,59,8,,0,0
commons-math,0c1e6fb256aa1b4f963d325ac818f09955961459,4,2,6,6,0,0.0,1,1,93,147,,0,0
commons-math,01c55de5f5869a6c244c87294616283b4ffd27c8,8,1,6,2,0,0.0,3,1,53,195,,0,0
commons-math,c278ac388b133213afddbfadf5c9456ad049373f,1,2,2,1,0,0.0,1,1,8,2,,0,0
commons-math,a6c3e571ca30d7f15a0a65743ca34183041deb8f,1,1,1,1,0,0.0,1,1,2,2,,0,0
commons-math,d7b9578de3266d6defdd81fa9f29880163bfa810,3,7,2,4,0,0.0,1,2,31,80,,0,0
commons-math,649e19b0f2d320fe2f9f2deaee9f4a391817c548,1,1,1,1,0,0.0,1,1,4,18,,0,0
commons-math,fa2adc7b477f4e37bb0d437ba8cb800f1fb1885f,1,16,2,5,1,0.1667,1,1,31,373,,0,0
commons-math,d9b951c1fad20e04440e7013e49ac08a8fac4061,1,1,1,1,0,0.0,1,1,2,21,,0,0
commons-math,376958763cda7cc546e4446243638418fefd1568,1,1,4,31,0,0.0,1,1,1436,417,,0,0
commons-math,92a027bc73d5ef67c4b2ead2f3ef63f198be1e26,1,1,2,2,0,0.0,1,1,9,19,,0,0
commons-math,c8f122c30463a186b0586c1370aa2b8e87890375,2,2,4,3,1,0.1667,1,1,1150,138,src/changes/changes.xml,0,1
commons-math,e11c00085cf0ba8c692522a851a387b63803c74c,3,2,7,5,0,0.0,1,1,1005,181,,0,0
commons-math,9786ad4de8ef2f0aefcbe2bcb14889bb148eebd5,1,3,5,5,0,0.0,1,3,519,67,,0,0
commons-math,7df65a5ddf59b564af1d753b89d30f8dc33a2c5d,7,3,8,4,0,0.0,1,1,202,123,,0,0
commons-math,4a6bf542e1929503f354d0afccc76e19d1cae177,6,3,8,11,0,0.0,1,1,202,2590,,0,0
commons-math,29b193629150c9a38949a6afa5b620cdb4d7f6a6,5,24,8,35,0,0.0,1,4,202,3244,,0,0
commons-math,b5e155e7d0448a100e9d4ff7d178a2fb9ea9f659,6,1,12,1,0,0.0,2,1,2271,2,,0,0
commons-math,bd3a6ecaa777247aaa6175e5c4721bfbd1645451,1,5,10,3,0,0.0,1,2,2264,29,,0,0
commons-math,fc7eeb4801b1ea7524b9329d5584c2e5ed945913,1,2,8,2,0,0.0,1,1,65,26,,0,0
commons-math,cee04d16489749883b8319f313e782ee20048652,1,3,2,2,0,0.0,1,1,6,31,,0,0
commons-math,d9df34360f3e95f1b5bdda9095888dab7f45d982,8,169,9,401,9,0.0224,4,3,449,31129,src/java/org/apache/commons/math/distribution/FDistributionImpl.java;src/site/xdoc/changes.xml;src/test/org/apache/commons/math/distribution/FDistributionTest.java,1,1
httpcomponents-core,4f7ad02c9ebe77066f39fcd775eabfe13530ba4f,2,1,2,1,0,0.0,1,1,9,2,,0,0
httpcomponents-core,de19a6054e0f661a78381d5cda91c9c7692c78ce,2,1,3,2,0,0.0,2,1,97,22,,0,0
httpcomponents-core,9b898d9206950b4602930f36c5b217c6364cdee0,16,1,69,2,0,0.0,4,1,2412,86,,0,0
httpcomponents-core,44309dd884117cb3c93f2c62599a12d8b3581ade,8,1,58,1,0,0.0,3,1,1958,51,,0,0
httpcomponents-core,a4931124479e4973b25dad54a88969c70a02906b,4,1,27,5,0,0.0,2,1,1645,97,,0,0
httpcomponents-core,6af1b9f2c98036012043d1c08245727ea9f7aead,9,2,43,26,0,0.0,4,1,789,1631,,0,0
